IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,164,2.50
34.175.133.251,2053,80,false,MAD,Europe,Madrid,184,2.49
34.65.238.241,443,443,true,FRA,Europe,Frankfurt,181,2.48
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,168,2.45
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,163,2.45
34.175.133.251,2082,80,false,MAD,Europe,Madrid,180,2.45
34.175.133.251,2096,80,false,MAD,Europe,Madrid,181,2.44
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,164,2.44
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,164,2.44
35.187.41.171,2083,80,false,CDG,Europe,Paris,167,2.43
34.175.95.58,2082,80,false,MAD,Europe,Madrid,179,2.43
34.175.161.245,2095,80,false,MAD,Europe,Madrid,181,2.43
34.175.133.251,2083,80,false,MAD,Europe,Madrid,182,2.43
34.175.161.245,2096,80,false,MAD,Europe,Madrid,181,2.42
34.175.244.157,2052,80,false,MAD,Europe,Madrid,181,2.41
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,165,2.41
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,161,2.41
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,161,2.40
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,166,2.40
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,162,2.40
34.175.244.157,2096,80,false,MAD,Europe,Madrid,181,2.40
34.175.161.245,2053,80,false,MAD,Europe,Madrid,178,2.40
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,164,2.39
34.175.161.245,2087,80,false,MAD,Europe,Madrid,183,2.39
34.175.161.245,2052,80,false,MAD,Europe,Madrid,178,2.38
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,166,2.37
34.175.161.245,2083,80,false,MAD,Europe,Madrid,180,2.37
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,166,2.37
34.175.244.157,2053,80,false,MAD,Europe,Madrid,181,2.36
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,162,2.35
34.65.127.153,443,443,true,FRA,Europe,Frankfurt,176,2.34
34.175.99.73,2082,80,false,MAD,Europe,Madrid,181,2.32
34.175.244.157,2082,80,false,MAD,Europe,Madrid,181,2.32
34.118.62.132,443,443,true,FRA,Europe,Frankfurt,189,2.31
34.175.244.157,2095,80,false,MAD,Europe,Madrid,181,2.31
34.175.95.58,2095,80,false,MAD,Europe,Madrid,181,2.29
34.65.58.16,443,443,true,FRA,Europe,Frankfurt,190,2.27
34.118.23.103,443,443,true,FRA,Europe,Frankfurt,187,2.25
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,189,2.23
34.175.7.231,2052,80,false,MAD,Europe,Madrid,181,2.22
34.175.7.231,2053,80,false,MAD,Europe,Madrid,180,2.21
34.175.99.73,2095,80,false,MAD,Europe,Madrid,179,2.21
34.175.7.231,2087,80,false,MAD,Europe,Madrid,182,2.20
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,265,2.20
34.175.168.99,2087,80,false,MAD,Europe,Madrid,182,2.20
34.175.244.157,2086,80,false,MAD,Europe,Madrid,181,2.19
34.175.99.73,2086,80,false,MAD,Europe,Madrid,182,2.19
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,45,2.18
34.175.143.15,2095,80,false,MAD,Europe,Madrid,184,2.18
34.65.52.113,443,443,true,FRA,Europe,Frankfurt,173,2.17
34.175.244.157,2087,80,false,MAD,Europe,Madrid,179,2.16
34.175.168.99,2083,80,false,MAD,Europe,Madrid,184,2.14
34.175.7.231,2082,80,false,MAD,Europe,Madrid,179,2.12
34.175.168.99,2082,80,false,MAD,Europe,Madrid,179,2.11
34.89.250.229,443,443,true,FRA,Europe,Frankfurt,250,2.11
34.175.161.245,2086,80,false,MAD,Europe,Madrid,178,2.09
34.32.232.90,443,443,true,FRA,Europe,Frankfurt,245,2.07
34.175.99.73,2052,80,false,MAD,Europe,Madrid,184,2.03
34.175.244.157,2083,80,false,MAD,Europe,Madrid,182,2.01
34.34.32.175,443,443,true,FRA,Europe,Frankfurt,165,2.00
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,164,1.99
34.65.67.185,443,443,true,FRA,Europe,Frankfurt,194,1.99
34.118.92.6,443,443,true,AMS,Europe,Amsterdam,175,1.93
34.116.249.141,443,443,true,EWR,North America,Newark,273,1.90
34.65.156.232,443,443,true,FRA,Europe,Frankfurt,181,1.90
34.118.75.245,443,443,true,FRA,Europe,Frankfurt,233,1.88
34.65.78.89,443,443,true,AMS,Europe,Amsterdam,191,1.87
34.65.24.103,443,443,true,FRA,Europe,Frankfurt,269,1.82
34.118.42.132,443,443,true,FRA,Europe,Frankfurt,189,1.81
