IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.125.86,2052,2052,false,NRT,Asia Pacific,Tokyo,80,10.90
138.2.167.242,443,443,true,FRA,Europe,Frankfurt,190,10.89
168.138.217.146,2052,2052,false,NRT,Asia Pacific,Tokyo,82,10.89
141.147.170.160,2087,0,true,NRT,Asia Pacific,Tokyo,91,10.89
132.145.114.14,2086,2086,false,NRT,Asia Pacific,Tokyo,83,10.88
141.147.168.159,2083,2083,true,NRT,Asia Pacific,Tokyo,76,10.88
131.186.44.38,2082,2082,false,NRT,Asia Pacific,Tokyo,76,10.88
140.238.51.184,2083,2083,true,NRT,Asia Pacific,Tokyo,81,10.87
168.138.200.159,2052,2052,false,NRT,Asia Pacific,Tokyo,85,10.87
158.101.142.103,8443,8443,true,NRT,Asia Pacific,Tokyo,98,10.86
132.145.123.14,2052,2052,false,NRT,Asia Pacific,Tokyo,76,10.86
140.238.58.42,2052,2052,false,NRT,Asia Pacific,Tokyo,78,10.86
158.101.131.218,2053,2053,true,NRT,Asia Pacific,Tokyo,89,10.86
140.238.52.81,2052,2052,false,NRT,Asia Pacific,Tokyo,79,10.86
168.138.200.159,2087,2087,true,NRT,Asia Pacific,Tokyo,106,10.86
158.101.146.165,8880,8880,false,NRT,Asia Pacific,Tokyo,86,10.85
168.138.206.109,2096,2096,true,NRT,Asia Pacific,Tokyo,135,10.85
140.238.50.99,8880,8880,false,NRT,Asia Pacific,Tokyo,82,10.85
